source language,target language,engine name
am,dv,Google
am,ee,Google
am,el,Google
am,en,Google
am,eo,Google
am,es,Google
am,et,Google
am,eu,Google
am,fa,Google
am,fi,Google
am,fr,Google
am,fy,Google
am,ga,Google
am,gan,Google
am,gd,Google
am,gl,Google
am,gn,Google
am,gom,Google
am,gu,Google
am,ha,Google
am,haw,Google
am,he,Google
am,hi,Google
am,hr,Google
am,ht,Google
am,hu,Google
am,hy,Google
am,id,Google
am,ig,Google
am,ilo,Google
am,is,Google
am,it,Google
am,ja,Google
am,jv,Google
am,ka,Google
am,kk,Google
am,km,Google
am,kn,Google
am,ko,Google
am,ku,Google
am,ky,Google
am,la,Google
am,lb,Google
am,lg,Google
am,ln,Google
am,lo,Google
am,lt,Google
am,lv,Google
am,mai,Google
am,mg,Google
am,mi,Google
am,mk,Google
am,ml,Google
am,mn,Google
am,mni,Google
am,mr,Google
am,ms,Google
am,mt,Google
am,my,Google
am,ne,Google
am,nl,Google
am,no,Google
am,nso,Google
am,ny,Google
am,om,Google
am,or,Google
am,pa,Google
am,pl,Google
am,ps,Google
am,pt,Google
am,qu,Google
am,ro,Google
am,ru,Google
am,rw,Google
am,sa,Google
am,sd,Google
am,sh,Google
am,si,Google
am,simple,Google
am,sk,Google
am,sl,Google
am,sm,Google
am,sn,Google
am,so,Google
am,sq,Google
am,sr,Google
am,st,Google
am,su,Google
am,sv,Google
am,sw,Google
am,ta,Google
am,te,Google
am,tg,Google
am,th,Google
am,ti,Google
am,tk,Google
am,tl,Google
am,tr,Google
am,ts,Google
am,tt,Google
am,tw,Google
am,ug,Google
am,uk,Google
am,ur,Google
am,uz,Google
am,vi,Google
am,wuu,Google
am,xh,Google
am,yi,Google
am,yo,Google
am,yue,Google
am,zh,Google
am,zu,Google
ar,af,Google
ar,am,Google
ar,arz,Google
ar,as,Google
ar,ay,Google
ar,az,Google
ar,be,Google
ar,be-tarask,Google
ar,bg,Google
ar,bho,Google
ar,bm,Google
ar,bn,Google
ar,bs,Google
ar,ca,Google
ar,ceb,Google
ar,ckb,Google
ar,co,Google
ar,cs,Google
ar,cy,Google
ar,da,Google
ar,de,Google
ar,dv,Google
ar,ee,Google
ar,el,Google
ar,en,Google
ar,eo,Google
ar,es,Google
ar,et,Google
ar,eu,Google
ar,fa,Google
ar,fi,Google
ar,fr,Google
ar,fy,Google
ar,ga,Google
ar,gan,Google
ar,gd,Google
ar,gl,Google
ar,gn,Google
ar,gom,Google
ar,gu,Google
ar,ha,Google
ar,haw,Google
ar,he,Google
ar,hi,Google
ar,hr,Google
ar,ht,Google
ar,hu,Google
ar,hy,Google
ar,id,Google
ar,ig,Google
ar,ilo,Google
ar,is,Google
ar,it,Google
ar,ja,Google
ar,jv,Google
ar,ka,Google
ar,kk,Google
ar,km,Google
ar,kn,Google
